화면명,Figma 링크,Prototype 링크,개발 완료,관련 API,관련 시나리오,관련 요구사항,관련 테스트,구분,단계,담당자,도메인,비고,상태,우선순위,입력 데이터,출력 데이터,화면 ID,화면 설명
관리자 판매 항목 품절 관리,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-19,,No,"API-002 GET /api/menus, API-003 GET /api/menus/{menuId}, API-004 GET /api/menus/{menuId}/options, API-009 PATCH /api/admin/sold-out-items",판매 항목 품절 관리 흐름(옵션기능),"LMIS-MENU-001, LMIS-MENU-002",TC-006,관리자,KSD,,식당,옵션기능 화면. 메뉴 상세/API-004 옵션 응답에서 ingredientId 확인 후 API-009로 품절 변경. 품절 목록 뷰 필요 (2026-07-06).,와이어프레임,중,"targetType(MENU/INGREDIENT), targetId, isSoldOut","메뉴 목록, 메뉴 기본 재료, 옵션 항목, 재료 역할, 변경된 품절 상태, 영향받는 메뉴/옵션",SCR-011,관리자가 메뉴 또는 재료의 품절 상태를 변경하는 화면입니다. 품절 변경 후 메뉴·재료 상태 목록을 확인할 수 있습니다.
결제,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-8,,No,API-006 POST /api/payments,가상 결제 완료 시나리오,"FWD-PAY-001, KSD-MEMBER-001, KSD-PAY-001","TC-004, TC-005",키오스크,KSD,,식당,실제 결제 연동이 아닌 가상 결제 승인 흐름. 결제 승인 대기 로딩 상태 필수. 결제 실패·재시도는 SCR-012 팝업/토스트 오버레이 (2026-07-06).,와이어프레임,상,"orderId, paymentMethod, amount","paymentId, paymentStatus, orderStatus",SCR-007,주문 금액을 확인하고 실제 PG 연동 없이 가상 결제를 진행하는 화면. 승인 대기 중 로딩 상태 필수.
주문 완료,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-9,,No,API-006 POST /api/payments 결과 사용,가상 결제 완료 시나리오,"FWD-PAY-002, FWD-ORDER-002, KSD-PAY-002, RTOS-DEVICE-001",TC-001,키오스크,KSD,,식당,영수증 출력/장치 연동은 Week 5 MVP 제외 (Week 7~8 확장),와이어프레임,중,"orderNo, paymentStatus, totalPrice","주문번호, 주문 완료 안내",SCR-008,결제 완료 후 주문번호와 주문 접수 상태를 보여주는 화면
메뉴 상세 / 옵션 선택,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-4,,No,"API-003 GET /api/menus/{menuId}, API-004 GET /api/menus/{menuId}/options",옵션 선택 시나리오,"FWD-MENU-001, FWD-MENU-002, FWD-MENU-003, FWD-MENU-004, FWD-MENU-005, FWD-MENU-015, LMIS-MENU-002",TC-003,키오스크,FWD,,식당,기본 포함 재료도 추가 토핑으로 선택 가능. 옵션 재료 품절은 해당 옵션칸만 품절. 알레르기·칼로리는 장바구니가 아닌 본 화면(옵션 선택)에 표시 (2026-07-06).,와이어프레임,상,"menuId, 기본 재료 목록, excludedIngredientIds, optionItems(optionItemId, ingredientId, quantity)","선택 메뉴, 기본 재료, 제외 재료, 품절 재료 뱃지, 추가 옵션, 옵션 수량, 옵션그룹 유형, 세트 옵션, 옵션 제공량/단백질, 옵션 아이콘/색상, 품절 옵션칸, 베이스 변경 가능 여부, 예상 금액, 예상 알레르기 표시",SCR-004,"메뉴 상세 정보를 확인하고 기본 재료 제외, 드레싱/토핑 등 옵션을 선택하는 화면입니다. 알레르기·칼로리 정보는 이 화면에서 표시합니다."
"관리자 주문 관리 ",https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-17,,No,API-007 GET /api/admin/orders,관리자 주문 목록 확인 / 주문 상세 확인 시나리오,"LMIS-ORDER-001, LMIS-ORDER-002, LMIS-ORDER-004",TC-014,관리자,KSD,,식당,주문 상태 변경은 관리자 주문 상세 화면에서 수행한다.,와이어프레임,상,status,"주문 목록, 주문번호, 주문유형, 결제상태, 주문상태, 주문금액, 주문일시",SCR-009,관리자가 주문 목록을 확인하고 특정 주문의 상세 화면으로 이동하는 화면
장바구니·주문확인,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-6,,No,API-005,장바구니 확인 및 주문 생성 시나리오,"FWD-CART-001, FWD-CART-002, FWD-CART-003, FWD-ORDER-001, DEV-ORDER-001","TC-001, TC-002",키오스크,FWD,,식당,2026-07-06 SCR-006 병합. 주문번호는 결제 완료(SCR-008) 후 표시. 알레르기·칼로리는 SCR-004에서 표시. 주문 생성 시 API-005.,와이어프레임,상,"장바구니 항목, orderType, excludedIngredientIds, optionItems, 수량","선택 메뉴, 기본 재료 제외 목록, 추가 옵션, 수량, 예상 총액, orderType, 추가 제안 상품, orderId(컨펌 팝업 확인 후)",SCR-005,"담은 메뉴·옵션·수량·총액을 확인·수정한다. 결제 전 최종 확인은 컨펌 팝업으로만 처리하며, 하단에 추가 제안 상품을 배치한다."
메뉴 선택,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-3,,No,"API-001 GET /api/categories, API-002 GET /api/menus",고객 주문 시나리오,"FWD-UI-001, FWD-UI-002","TC-001, TC-002",키오스크,FWD,,식당,핵심 재료/베이스 재료 품절 시 메뉴 주문 불가. 일반 기본 재료 품절 시 메뉴 카드에 재료 품절 뱃지 표시,와이어프레임,상,"orderType, categoryId","카테고리 목록, 메뉴 목록, 메뉴 이미지, 메뉴명, 가격, 계산된 기본 칼로리, 메뉴 품절 여부, 재료 품절 뱃지, 주문 가능 여부",SCR-003,카테고리별 ASAK 메뉴 목록을 카드형으로 보여주는 화면
홈 (매장·포장),https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=61-273,,No,없음,"SC-001, 식당 키오스크 주문 흐름","FWD-UI-002, FWD-ORDER-001",TC-001,키오스크,FWD,"유진, 나연",식당,2026-07-06 SCR-002 병합. orderType은 장바구니·결제까지 유지. DS-02 Modern Minimal 적용. [동기화 확인 2026-07-06 16:32],와이어프레임,상,없음,"브랜드 안내, 매장(먹고가기)/포장 선택, orderType(EAT_IN 또는 TAKE_OUT)",SCR-001,ASAK 키오스크 시작 화면. 브랜드 안내와 함께 매장(먹고가기)·포장 주문 유형을 한 화면에서 선택한다.
"관리자 주문 상세 ",https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-18,,No,"API-007 GET /api/admin/orders 결과 사용, API-008 PATCH /api/admin/orders/{orderId}/status",관리자 주문 상세 확인 / 주문 상태 변경 시나리오,"LMIS-ORDER-001, LMIS-ORDER-002, LMIS-ORDER-003, LMIS-ORDER-004",TC-014,관리자,KSD,"나연, 하진",식당,별도 주문 상세 API는 Day 10 1차 발표에서 만들지 않고 API-007 목록/상세 데이터 기반으로 표시,와이어프레임,상,"orderId, 변경할 status","주문 상세 정보, 변경된 주문 상태",SCR-010,"관리자가 특정 주문의 메뉴, 옵션, 주문유형, 결제상태, 주문상태를 확인하는 화면"
주문 확인,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-7,,No,API-005 POST /api/orders,장바구니 확인 및 주문 생성 시나리오,,"TC-001, TC-002",키오스크,KSD,"유진, 하진",식당,SCR-005에 병합. ID·Notion URL 참조용 유지. Figma 프레임은 SCR-005로 통합 예정.,병합됨,상,"장바구니 항목, excludedIngredientIds, optionItems, 수량, orderType","orderId, orderNo, totalPrice, orderStatus",SCR-006,【병합됨】2026-07-06 회의 결정으로 SCR-005「장바구니·주문확인」에 통합. 최종 확인은 컨펌 팝업만.
