작업명,↔ 요구사항,관련 산출물,구분,단계,담당자,비고,상태,시작일,우선순위,작업 ID,종료일,진척률
Spring Boot 프로젝트 생성 및 DB 연결,,backend 소스코드,백엔드,LMIS,하진,"application 설정, MySQL 연결",예정,,상,BE-001,,0
모의 프린터/RTOS 콘솔 구현,,rtos-simulator,장치,,,Printer Task 로그 출력,예정,,중,DEV-002,,0
최종 시연 준비,,시연 영상 또는 시연 시나리오,발표,,전체,시연 데이터 미리 준비,예정,,상,PPT-002,,0
DB: 샘플 데이터 작성 보조,,"sample-data.sql, ASAK 가상 메뉴/옵션/재료 샘플 데이터",DB,LMIS,,"기존 보조 작업을 WBS 체계로 편입. schema.sql 제약조건은 WBS-023에서 담당하고, 이 작업은 WBS-024 샘플 데이터 보강용으로 관리한다.",예정,,중,WBS-033,,0
README 작성,,http://README.md,문서,,,"실행 방법, 기술 스택, 기능 설명",예정,,중,DOC-001,,0
React 프로젝트 생성 및 라우터 구성,,frontend 소스코드,프론트엔드,FWD,"유진, 민준",kiosk/admin/device-test 라우트 구성,예정,,상,FE-001,,0
테이블 정의서 작성,,테이블 정의서,DB,LMIS,,"PK/FK, 상태값 포함",예정,,상,DB-002,,0
요구사항 정의서 작성,,요구사항 정의서,문서,,,기능/비기능 요구사항 정리,예정,,상,WBS-002,,0
프론트: 옵션선택 화면 구현,,"SCR 메뉴 상세/옵션 선택, API-003, API-004",프론트엔드,FWD,"유진, 민준","옵션그룹, 추천 드레싱, 기본재료 제외, 세트 사이드/음료 선택, 품절 표시가 동작하면 완료",예정,2026년 7월 6일,상,WBS-008,2026년 7월 9일,
백엔드: 판매 항목 품절 상태 변경 API,,"API-009, API-010, 판매 항목 품절 기준",백엔드,LMIS,"하진, 나연",메뉴/재료/옵션항목 품절 변경과 CORE/BASE/DEFAULT 표시 기준이 API에 반영되면 완료,예정,2026년 7월 10일,상,WBS-013,2026년 7월 15일,
기술스택 확정 · 역할분담,,"01 팀/역할/일정, 기술스택 문서, Git 전략",협업,PLAN,"하진, 나연","역할/기술스택/브랜치 전략/Week 5 MVP(SCR-001~008, 8/1) 범위가 팀원에게 공유되면 완료",완료,2026년 7월 3일,상,WBS-003,2026년 7월 3일,
Git 전략 · 백로그 티켓화,,"Git 전략, 07 WBS, GitHub Projects",협업,DEV,"하진, 나연",브랜치/커밋/PR 규칙과 WBS 작업 단위가 팀 내 합의되면 완료,예정,2026년 7월 3일,중,WBS-006,2026년 7월 4일,
