요구사항명,검수 기준,구분,단계,담당자,비고,상세 설명,상태,요구사항 ID,우선순위,Related to WBS 개발 진행 데이터베이스 (↔ 요구사항),↔ 시나리오,기능계층
키오스크 메뉴 목록 조회,"카테고리 선택 시 해당 카테고리의 메뉴명, 가격, 이미지, 품절 상태가 목록에 표시된다.",기능,FWD,,"API-001, API-002와 연결한다.",사용자는 키오스크에서 카테고리별 메뉴 목록을 조회할 수 있어야 한다.,예정,FWD-MENU-001,상,,신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md),기본기능
관리자 주문 상태 변경,주문 상태 변경 후 DB와 관리자 주문 상세 화면에 변경 결과가 반영된다.,관리자,LMIS,,API-008과 연결. 주문 상태는 common_code 기준을 따른다.,"관리자는 주문 상태를 RECEIVED, PREPARING, COMPLETED 흐름에 맞게 변경할 수 있어야 한다.",예정,LMIS-ORDER-003,상,"백엔드: 관리자 주문 목록/상태변경 API (API-007/008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%B0%B1%EC%97%94%EB%93%9C%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%83%81%ED%83%9C%EB%B3%80%EA%B2%BD%20API%20(API-007%20008)%2039451ef04f0b81ceae70cb1a89037fa9.md), 프론트: 관리자 주문 관리/상세 화면 구현 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EA%B4%80%EB%A6%AC%20%EC%83%81%EC%84%B8%20%ED%99%94%EB%A9%B4%20%EA%B5%AC%ED%98%84%2039451ef04f0b81beb9f2ccfa15215395.md)",,기본기능
관리자 로그인,"올바른 계정으로 로그인 시 관리자 화면에 접근 가능하고, 잘못된 계정은 접근이 제한된다.",관리자,LMIS,,"Week 5 MVP 인증 생략. 추적: SCR-015, SC-008",관리자는 계정 정보를 이용해 관리자 시스템에 로그인할 수 있어야 한다.,제외,LMIS-AUTH-001,중,,관리자의 주문 상태 관리 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EA%B4%80%EB%A6%AC%2039151ef04f0b81a4b874ea63b2e87f81.md),추가기능
데이터는 Spring Boot를 통해서만 접근,DB 접속 설정은 Spring Boot 프로젝트에만 존재한다.,비기능,KSD,,백엔드 API 경유 원칙은 MVP 아키텍처 기준,React와 모의 장치/RTOS Simulator는 DB에 직접 접근하지 않고 Spring Boot API를 통해서만 데이터를 처리해야 한다.,예정,KSD-ARCH-001,상,,,기본기능
가상 결제 처리,결제 요청 성공 시 payment 데이터가 저장되고 주문 완료 화면으로 이동할 수 있다.,API,DEV,,API-006과 연결한다.,실제 결제 연동 없이 주문 금액을 기준으로 가상 결제 성공 처리를 수행한다.,예정,DEV-PAY-001,상,,,기본기능
영수증 출력 요청,영수증 출력 요청 시 주문번호와 결제금액을 포함한 장치 이벤트가 생성된다.,장치,RTOS,,실제 프린터 연동은 확장 범위이며 MVP에서는 모의 이벤트로 처리한다.,사용자가 영수증 출력을 선택하면 주문 정보를 기반으로 영수증 출력 요청을 생성한다.,예정,RTOS-DEVICE-002,중,,,추가기능
테스트 시나리오 기반 검증,핵심 테스트 케이스 수행 결과가 기록되고 오류 발생 여부가 확인된다.,비기능,TEST,,09. 테스트/오류 관리 문서와 연결한다.,"작성된 테스트 시나리오를 기준으로 주요 주문, 결제, 관리자, 품절 흐름을 검증한다.",예정,TEST-SYS-001,상,,,기본기능
장치 이벤트 로그 조회,"장치 이벤트 발생 시 이벤트 유형, 주문번호, 상태, 발생 시간이 기록되고 조회된다.",장치,RTOS,,08. 장치/RTOS 연계 문서와 연결한다.,"관리자는 영수증 출력, QR/바코드 스캔 등 장치 이벤트 처리 내역을 조회할 수 있어야 한다.",예정,RTOS-DEVICE-003,중,,,추가기능
관리자 주문 상세 조회,주문 상세 화면에서 주문 메뉴별 선택 옵션과 제외 재료가 구분되어 표시된다.,관리자,LMIS,,API-007과 연결. Week 6(SCR-009~011) MVP에서는 목록 API 응답에 상세 데이터를 포함한다.,"관리자는 특정 주문의 메뉴, 수량, 선택 옵션, 제외 재료, 결제 상태, 주문 상태를 상세 확인할 수 있어야 한다.",예정,LMIS-ORDER-002,상,"백엔드: 관리자 주문 목록/상태변경 API (API-007/008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%B0%B1%EC%97%94%EB%93%9C%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%83%81%ED%83%9C%EB%B3%80%EA%B2%BD%20API%20(API-007%20008)%2039451ef04f0b81ceae70cb1a89037fa9.md), 프론트: 관리자 주문 관리/상세 화면 구현 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EA%B4%80%EB%A6%AC%20%EC%83%81%EC%84%B8%20%ED%99%94%EB%A9%B4%20%EA%B5%AC%ED%98%84%2039451ef04f0b81beb9f2ccfa15215395.md)",관리자의 주문 상태 관리 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EA%B4%80%EB%A6%AC%2039151ef04f0b81a4b874ea63b2e87f81.md),기본기능
주문 생성,"주문 생성 요청 후 orders, order_item, order_item_option, item_exclusion에 필요한 데이터가 저장된다.",API,DEV,,API-005와 연결한다.,"고객이 선택한 메뉴, 수량, 옵션, 제외 재료, 먹고가기/포장 정보를 주문 데이터로 등록할 수 있어야 한다.",예정,DEV-ORDER-001,상,,,기본기능
