요구사항명,검수 기준,구분,단계,담당자,비고,상세 설명,상태,요구사항 ID,우선순위
관리자 상태 변경,상태 변경 후 DB와 관리자 화면에 변경 결과가 반영된다.,관리자,LMIS,,,관리자는 주문 또는 예약 상태를 변경할 수 있어야 한다.,예정,REQ-008,중
테스트 시나리오 기반 검증,핵심 테스트 케이스가 성공 또는 재테스트 완료 상태여야 한다.,비기능,테스트,,최종 발표 전 필수,최종 제출 전 주요 기능은 테스트 시나리오 DB 기준으로 검증되어야 한다.,예정,REQ-012,상
영수증 출력 요청,모의 프린터 콘솔에 영수증 출력 로그가 표시되고 device_event에 결과가 저장된다.,장치,장치,,모의 장치는 DB 직접 접근 금지,고객이 영수증 출력 버튼을 클릭하면 Spring Boot가 주문/결제 내역을 조회한 뒤 모의 프린터 또는 RTOS Simulator로 출력 데이터를 전달해야 한다.,예정,REQ-004,상
가상 결제 처리,결제 완료 후 payment가 저장되고 주문 상태가 결제 완료로 변경된다.,기능,KSD,,실제 PG 연동 제외,실제 결제 모듈 없이 카드 결제가 승인된 것처럼 가상 결제 결과를 생성하고 저장해야 한다.,예정,REQ-003,상
데이터는 Spring Boot를 통해서만 접근,DB 접속 설정은 Spring Boot 프로젝트에만 존재한다.,비기능,KSD,,아키텍처 핵심 원칙,React와 모의 장치/RTOS Simulator는 DB에 직접 접근하지 않고 Spring Boot API를 통해서만 데이터를 처리해야 한다.,예정,REQ-011,상
키오스크 항목 목록 조회,화면 진입 시 DB의 항목 목록이 정상 출력된다.,기능,KSD,,도메인별 테이블명은 팀 주제에 따라 조정,"고객은 키오스크에서 메뉴, 좌석, 진료과 등 선택 가능한 항목 목록을 조회할 수 있어야 한다.",예정,REQ-001,상
QR/바코드 스캔 처리,유효한 스캔 값 입력 시 대상 데이터가 반환되고 이벤트 로그가 저장된다.,장치,장치,,실제 리더기 없이 input 입력으로 대체 가능,"QR 또는 바코드 값을 입력받아 주문번호, 예약번호, 좌석번호 등과 매칭할 수 있어야 한다.",예정,REQ-005,중
관리자 주문/예약 목록 조회,"관리자 화면에서 주문번호, 금액, 결제상태, 주문상태가 표시된다.",관리자,LMIS,,검색/페이징 포함 권장,"관리자는 주문, 예약, 접수 내역을 목록으로 조회할 수 있어야 한다.",예정,REQ-007,상
주문/예약/접수 등록,등록 후 주문번호 또는 예약번호가 생성되고 DB에 저장된다.,기능,KSD,,,"고객이 선택한 항목, 수량, 옵션, 고객 정보를 주문/예약/접수 데이터로 등록할 수 있어야 한다.",예정,REQ-002,상
장치 이벤트 로그 조회,"장치 타입, 이벤트 타입, 상태별 로그 조회가 가능하다.",관리자,장치,,,"관리자는 영수증 출력, QR/바코드 스캔 등 장치 이벤트 처리 내역을 조회할 수 있어야 한다.",예정,REQ-009,중
키오스크 터치 친화 UI,주요 버튼이 한눈에 보이고 마우스/터치로 쉽게 클릭 가능하다.,비기능,FWD,,태블릿 14.6인치 기준 고려,키오스크 화면은 터치 사용을 고려하여 버튼과 글자를 크게 배치해야 한다.,예정,REQ-010,중
관리자 로그인,올바른 계정으로 로그인 시 관리자 화면에 접근 가능하다.,관리자,LMIS,,세션 또는 JWT 선택,관리자는 계정 정보를 이용해 관리자 시스템에 로그인할 수 있어야 한다.,예정,REQ-006,상
